market,is_cumulative,seq,code,name,board_date,purpose_code,amount_cap,planned_shares,price_low,price_high,period_start,period_end,done,standard_data,bought_shares,cancelled_transferred_shares,bought_ratio_pct,bought_amount,avg_price,bought_of_outstanding_pct,note,purpose_text
sii,False,1,1101,台泥,97/11/12,1,"18,071,420,913","30,000,000",14.04,26.48,97/11/13,98/01/11,Y,,0,,0.00,0,0.00,0.00,因預定買回期間本公司股價與大盤相較並無超跌情形，為維護股東權益及考量員工未來認股意願，故未予執行,轉讓股份予員工
sii,False,1,1101,台泥,107/02/02,1,"47,291,021,000","6,000,000",26.53,56.63,107/02/05,107/04/03,Y,,"6,000,000","6,000,000",100.00,"218,165,694",36.36,0.14,,轉讓股份予員工
sii,False,1,1101,台泥,108/05/10,1,"78,440,337,000","10,000,000",29.75,63.62,108/05/13,108/07/12,Y,,"8,000,000","8,000,000",80.00,"348,959,120",43.62,0.15,原預定買回期間本公司股價與大盤相較無超跌情形，為維護股東權益及考量員工認股意願，故未執行完畢。,轉讓股份予員工
sii,False,1,1101,台泥,109/03/20,1,"82,253,560,000","8,000,000",25.90,61.95,109/03/23,109/05/22,Y,,"4,000,000","4,000,000",50.00,"171,600,146",42.90,0.07,原預定買回期間本公司股價與大盤相較無超跌情形，為維護股東權益及考量員工認股意願，故未執行完畢。,轉讓股份予員工
sii,False,1,1101,台泥,112/01/04,1,"106,225,892,000","20,000,000",23.45,50.99,112/01/05,112/03/03,Y,,"20,000,000",,100.00,"732,458,798",36.62,0.28,,轉讓股份予員工
sii,False,1,1101,台泥,114/06/30,1,"126,554,019,000","10,000,000",17.85,41.50,114/07/01,114/08/01,Y,,"10,000,000",,100.00,"246,980,915",24.70,0.13,,轉讓股份予員工
sii,False,1,1101,台泥,114/06/30,3,"126,554,019,000","28,000,000",17.85,41.50,114/08/04,114/08/29,Y,,"28,000,000","28,000,000",100.00,"656,204,639",23.44,0.36,,維護公司信用及股東權益並辦理註銷
sii,True,累計,1101,台泥,----,----,----,"112,000,000",----,----,----,----,----,,"76,000,000","46,000,000",67.86,"2,374,369,312",----,----,----,----
sii,False,2,1102,亞泥,90/07/05,3,"6,276,981,000","50,000,000",9.00,13.00,90/07/06,90/09/05,Y,,"35,513,000","35,513,000",71.03,"398,083,186",11.21,1.74,因股價波動，及限時、限價、限量掛單買進，致使部分買單未能撮合,維護公司信用及股東權益並辦理註銷
sii,False,2,1102,亞泥,90/09/21,3,"5,647,170,000","15,000,000",8.00,13.00,90/09/24,90/11/23,Y,,"14,783,000","14,783,000",98.55,"142,479,756",9.64,0.71,"最後交易日,收盤前市場惜售,只有買進價格,無賣出價格,致使部分買",維護公司信用及股東權益並辦理註銷
sii,True,累計,1102,亞泥,----,----,----,"65,000,000",----,----,----,----,----,,"50,296,000","50,296,000",77.38,"540,562,942",----,----,----,----
sii,False,3,1103,嘉泥,89/09/29,1,"1,505,388,000","4,600,000",5.00,10.00,89/09/30,89/10/29,Y,,"4,600,000","4,600,000",100.00,"32,178,019",7.00,0.66,,轉讓股份予員工
sii,False,3,1103,嘉泥,93/05/07,1,"2,258,301,186","40,000,000",12.00,15.00,93/05/10,93/07/09,Y,,"839,000","839,000",2.10,"10,858,550",12.94,0.12,"為維護整體股東權益,本公司視股價變化買回本公司股份,執行率為2.",轉讓股份予員工
sii,False,3,1103,嘉泥,94/07/19,3,"2,004,764,068","29,000,000",10.00,15.00,94/07/20,94/09/19,Y,,"25,113,000","25,113,000",86.60,"351,144,147",13.98,3.59,本公司視股價變化買回本公司股份已達董事會預定金額上限3.5億,維護公司信用及股東權益並辦理註銷
